100 30
0 1 5.0
0 2 1.0
0 3 9.0
0 4 5.0
0 5 7.0
0 6 7.0
0 7 9.0
0 8 1.0
0 9 1.0
0 10 1.0
0 11 4.0
0 12 5.0
0 13 9.0
0 14 4.0
0 15 2.0
0 16 3.0
0 17 2.0
0 18 2.0
0 19 2.0
0 20 2.0
0 21 7.0
0 22 4.0
0 23 8.0
0 24 1.0
0 25 7.0
0 26 3.0
0 27 3.0
0 28 6.0
0 29 4.0
0 30 8.0
0 31 7.0
0 32 7.0
0 33 8.0
0 34 0.0
0 35 7.0
0 36 5.0
0 37 5.0
0 38 6.0
0 39 4.0
0 40 7.0
0 41 1.0
0 42 5.0
0 43 5.0
0 44 1.0
0 45 9.0
0 46 8.0
0 47 0.0
0 48 4.0
0 49 6.0
0 50 4.0
0 51 4.0
0 52 7.0
0 53 1.0
0 54 8.0
0 55 8.0
0 56 0.0
0 57 1.0
0 58 8.0
0 59 9.0
0 60 8.0
0 61 1.0
0 62 8.0
0 63 9.0
0 64 7.0
0 65 0.0
0 66 5.0
0 67 4.0
0 68 2.0
0 69 6.0
0 70 4.0
0 71 1.0
0 72 9.0
0 73 9.0
0 74 0.0
0 75 7.0
0 76 3.0
0 77 8.0
0 78 2.0
0 79 2.0
0 80 5.0
0 81 3.0
0 82 9.0
0 83 5.0
0 84 5.0
0 85 1.0
0 86 6.0
0 87 5.0
0 88 9.0
0 89 9.0
0 90 0.0
0 91 6.0
0 92 0.0
0 93 1.0
0 94 8.0
0 95 1.0
0 96 0.0
0 97 8.0
0 98 0.0
0 99 4.0
1 2 8.0
1 3 8.0
1 4 2.0
1 5 3.0
1 6 0.0
1 7 3.0
1 8 8.0
1 9 0.0
1 10 4.0
1 11 7.0
1 12 4.0
1 13 9.0
1 14 9.0
1 15 3.0
1 16 7.0
1 17 1.0
1 18 0.0
1 19 0.0
1 20 2.0
1 21 1.0
1 22 1.0
1 23 3.0
1 24 7.0
1 25 8.0
1 26 2.0
1 27 3.0
1 28 3.0
1 29 3.0
1 30 2.0
1 31 7.0
1 32 7.0
1 33 5.0
1 34 0.0
1 35 2.0
1 36 2.0
1 37 2.0
1 38 5.0
1 39 1.0
1 40 9.0
1 41 3.0
1 42 8.0
1 43 6.0
1 44 9.0
1 45 4.0
1 46 5.0
1 47 9.0
1 48 9.0
1 49 4.0
1 50 0.0
1 51 4.0
1 52 7.0
1 53 6.0
1 54 7.0
1 55 7.0
1 56 9.0
1 57 4.0
1 58 1.0
1 59 6.0
1 60 2.0
1 61 2.0
1 62 4.0
1 63 1.0
1 64 9.0
1 65 0.0
1 66 0.0
1 67 3.0
1 68 0.0
1 69 1.0
1 70 9.0
1 71 1.0
1 72 6.0
1 73 6.0
1 74 8.0
1 75 0.0
1 76 6.0
1 77 3.0
1 78 2.0
1 79 1.0
1 80 4.0
1 81 1.0
1 82 1.0
1 83 4.0
1 84 8.0
1 85 3.0
1 86 9.0
1 87 1.0
1 88 3.0
1 89 6.0
1 90 7.0
1 91 6.0
1 92 9.0
1 93 5.0
1 94 2.0
1 95 7.0
1 96 3.0
1 97 5.0
